author,title,category,phrase_text,error,correction
By H2,Beastars vs. BNA: Brand New Animal,Anime & Manga,"“BNA: Brand New Animal” and “Beastars” might have come out around the same time, but the two shows are very different. The characters in Beastars are anthropomorphic animals, while the characters in BNA are humans who can shift into an animal-like form. Beastars is a murder mystery/romance taking place in Cherryton Academy, while BNA revolves around a large government, religious, and corporate conspiracy in Anima city.","The characters in Beastars are anthropomorphic animals, while the characters in BNA are humans who can shift into an animal-like form. ","Um, actually, the shapeshifting characters in BNA aren't human. They are a separate branch of humanity called Beastmen."
By Hariq,Bofuri,Anime & Manga,"In “Bofuri: I Don't Want to Get Hurt, so I'll Max Out My Defense”, main character Maple doesn't know how to play the MMORPG NewWorld Online, so she puts all her stat points in defense, making her immune to most damage. Frustrated by this, the developers eventually rely on other methods of damaging her, such as poison and piercing damage.","Frustrated by this, the developers eventually rely on other methods of damaging her, such as poison and piercing damage.","Um, actually, poison damage doesn't affect Maple. She becomes immune to poison after gaining the skill from a poison-based enemy."
By Peter the Human,Cowboy Bebop,Anime & Manga,"With the exception of the “data-dog” Ein, the crew of the Bebop all had significant life events occur in 2068, three years prior to the events of the series: Spike Spiegel and Jet Black formed their partnership, con artist Faye Valentine was placed into cryofreeze after a space shuttle accident, and juvenile hacker Ed Wong departed from her orphanage.","con artist Faye Valentine was placed into cryofreeze after a space shuttle accident,","Um, actually, faye wasn't placed into cryofreeze in 2068. She was placed into cryofreeze in 2014 - she was woken in 2068"
By H2,Code Geass,Anime & Manga,"In “Code Geass”, Lelouch vi Britannia is a young prince who was exiled from his nation and seeks to take revenge. With the help of a mysterious woman going by the name 02, he gains the use of “Geass”, a power that lets him give someone a single command that must be followed. He uses this power to lead a rebellion against the Holy Britannian Empire and free the United States of Japan from subjugation.","With the help of a mysterious woman going by the name 02, he gains the use of “Geass”,","Um, actually, the mysterious woman isn't called 02. 02 is a mysterious woman from a different mecha anime series, “Darling in the FRANXX”. The woman in Code Geass is named C2, sometimes spelled C.C."
By Sean Middlehurst,Death Note,Anime & Manga,"Shinigami are immortal, extra-dimensional beings who can use their Death Notes to kill humans. While shinigami vary widely in appearance and personality, they are all capable of flight and are only visible to humans who have been in physical contact with a Death Note - regardless of if the Note is intact or fragmented.","Shinigami are immortal, extra-dimensional beings who can use their Death Notes to kill humans.","Um, actually, shinigami aren't immortal. They must use the Death Note to extend their lifespans, and can die if they kill to save the life of a human they love."
By Peter the Human,Dragon Ball Z,Anime & Manga,"Frieza, the emperor of Universe 7, seeks the Dragon Balls to wish for immortality. On the planet Namek, he fights with Piccolo, Krillin, Gohan and Vegeta. In a memorable sequence that plays out in real time in the anime; a fight with Goku occurs after Frieza sends a Death Ball to the core of the planet, telling Goku that the planet will explode in 5 minutes.",In a memorable sequence that plays out in real time in the anime; a fight with Goku occurs,"Um, actually, the fight with Goku doesn't play out in real time. The “five minute” fight was 10 episodes and over 3 hours long."
By Sensibly Jake,Food Wars!,Anime & Manga,"Characters who eat the food in “Food Wars” regularly explode out of their clothes, screaming in orgasmic joy, shouting at the top of their lungs how amazing the food is. One of the most skilled chefs in the show is the main character Soma, who almost always wins cooking competitions, but saves the tastiest recipes for his closest friends.","who almost always wins cooking competitions, but saves the tastiest recipes for his closest friends.","Um, actually, Soma doesn't save his best recipes for his friends. Soma uses his friends as guinea pigs for his new recipes, so he often makes them awful foods - like peanut butter squid."
By Peter the Human,Fullmetal Alchemist: Brotherhood,Anime & Manga,"In the world of “Fullmetal Alchemist”, alchemy is governed by a few rules: to obtain or create something, something of equal value must be lost or destroyed (the law of Equivalent Exchange), alchemy must be practiced using a transmutation circle (typically either drawn on the ground or tattooed onto an alchemist’s body), and human transmutation is generally considered to be taboo.","alchemy must be practiced using a transmutation circle (typically either drawn on the ground or tattooed onto an alchemist’s body),","Um, actually, alchemy doesn't necessarily require a transmutation circle. The protagonist, Edward Elric, rarely uses one."
By Sensibly Jake & Peter the Human,Grave of the Fireflies,Anime & Manga,"Siblings Seita and Setsuko just can't seem to catch a break. After being orphaned by the US bombing of Kobe in World War II, they move in with a distant aunt. Seita retrieves some supplies that he buried before the bombing, but ultimately turns all his supplies over to his aunt. In turn, his aunt convinces Seita to sell his mother's silk kimono, and the siblings leave after discovering she is stealing money from them.","Seita retrieves some supplies that he buried before the bombing, but ultimately turns all his supplies over to his aunt.","Um, actually, Seita didn't give his aunt all his supplies. He saved one thing - a tin of Sakuma drops (a type of hard candy)."
By Hariq,Isekai,Anime & Manga,"Isekai is an anime subgenre in which characters get transported to another world or time period. Re:Zero, Konosuba, Sword Art Online, and Ascendence of a Bookworm are popular examples where the characters are reincarnated or magically transported into mysterious fantasy worlds.","Sword Art Online, and Ascendence of a Bookworm are popular examples where the characters are reincarnated or magically transported into mysterious fantasy worlds.","Um, actually, Sword Art Online's characters aren't magically transported to a fantasy world. They are playing a video game which traps them."
